country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Egypt,30,154304,5628493,36,23077.0,272924.0,-249847.0,43240.0,16066.0,25055.0,25384.0,18107.0,10861.0,29565.0,38795.0,17507.0,26168.0,34701.0,112202.0,22957.0,27182.0,7296.0,8370.0,13256.0,14429.0,5328.0,4166.0,4320.0,2725.0
Egypt,50,14628,590798,40,12409.0,21361.0,-8952.0,30847.0,10204.0,19144.0,12899.0,12275.0,7032.0,20355.0,31454.0,11740.0,14577.0,23403.0,64547.0,1953.0,2333.0,1077.0,1711.0,1887.0,2377.0,1543.0,274.0,1147.0,224.0
Egypt,75,624,33283,53,2613.0,1289.0,1324.0,7263.0,1335.0,4039.0,1927.0,2713.0,973.0,3783.0,10386.0,3195.0,2261.0,4702.0,14743.0,42.0,0.0,0.0,0.0,16.0,0.0,44.0,0.0,67.0,0.0
El Salvador,0,2042273,80760969,40,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,10,1127099,78922376,70,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,15,1092797,77500860,71,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,20,1052471,75731317,72,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,25,1024833,74514030,73,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,30,988823,72874705,74,1582590.0,4872359.0,-3289769.0,3440916.0,1753851.0,2226922.0,1811359.0,2358867.0,1804643.0,1243713.0,1390798.0,1849325.0,1213777.0,1427743.0,1117829.0,826662.0,928353.0,1045791.0,2920838.0,2292844.0,1322542.0,1096965.0,1122322.0,771150.0,849769.0
El Salvador,50,801729,63687230,79,1463696.0,3937318.0,-2473623.0,3206368.0,1620091.0,2044564.0,1689782.0,2209125.0,1639600.0,1159580.0,1301639.0,1732976.0,1134720.0,1356577.0,1049284.0,722509.0,786381.0,935011.0,2746478.0,2085451.0,1223754.0,1002373.0,1048168.0,715563.0,791312.0
El Salvador,75,470781,43623406,93,1032449.0,2358353.0,-1325904.0,1784415.0,1133234.0,1217254.0,1232969.0,1467387.0,1131112.0,866902.0,905035.0,1218998.0,806172.0,1000845.0,770027.0,455761.0,457332.0,634116.0,2301381.0,1562413.0,955563.0,765507.0,842037.0,564678.0,640748.0
Equatorial Guinea,0,2695935,341366619,127,,,,,,,,,,,,,,,,,,,,,,,,,
